PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
176,Third,male,18,1,1,7.8542,,S,No
177,Third,male,,3,1,25.4667,,S,No
178,First,female,50,0,0,28.7125,C49,C,No
179,Second,male,30,0,0,13,,S,No
180,Third,male,36,0,0,0,,S,No
181,Third,female,,8,2,69.55,,S,No
182,Second,male,,0,0,15.05,,C,No
183,Third,male,9,4,2,31.3875,,S,No
184,Second,male,1,2,1,39,F4,S,Yes
185,Third,female,4,0,2,22.025,,S,Yes
186,First,male,,0,0,50,A32,S,No
187,Third,female,,1,0,15.5,,Q,Yes
188,First,male,45,0,0,26.55,,S,Yes
189,Third,male,40,1,1,15.5,,Q,No
190,Third,male,36,0,0,7.8958,,S,No
191,Second,female,32,0,0,13,,S,Yes
192,Second,male,19,0,0,13,,S,No
193,Third,female,19,1,0,7.8542,,S,Yes
194,Second,male,3,1,1,26,F2,S,Yes
195,First,female,44,0,0,27.7208,B4,C,Yes
196,First,female,58,0,0,146.5208,B80,C,Yes
197,Third,male,,0,0,7.75,,Q,No
198,Third,male,42,0,1,8.4042,,S,No
199,Third,female,,0,0,7.75,,Q,Yes
200,Second,female,24,0,0,13,,S,No
201,Third,male,28,0,0,9.5,,S,No
202,Third,male,,8,2,69.55,,S,No
203,Third,male,34,0,0,6.4958,,S,No
204,Third,male,45.5,0,0,7.225,,C,No
205,Third,male,18,0,0,8.05,,S,Yes
206,Third,female,2,0,1,10.4625,G6,S,No
207,Third,male,32,1,0,15.85,,S,No
208,Third,male,26,0,0,18.7875,,C,Yes
209,Third,female,16,0,0,7.75,,Q,Yes
210,First,male,40,0,0,31,A31,C,Yes
211,Third,male,24,0,0,7.05,,S,No
212,Second,female,35,0,0,21,,S,Yes
213,Third,male,22,0,0,7.25,,S,No
214,Second,male,30,0,0,13,,S,No
215,Third,male,,1,0,7.75,,Q,No
216,First,female,31,1,0,113.275,D36,C,Yes
217,Third,female,27,0,0,7.925,,S,Yes
218,Second,male,42,1,0,27,,S,No
219,First,female,32,0,0,76.2917,D15,C,Yes
220,Second,male,30,0,0,10.5,,S,No
221,Third,male,16,0,0,8.05,,S,Yes
222,Second,male,27,0,0,13,,S,No
223,Third,male,51,0,0,8.05,,S,No
224,Third,male,,0,0,7.8958,,S,No
225,First,male,38,1,0,90,C93,S,Yes
226,Third,male,22,0,0,9.35,,S,No
227,Second,male,19,0,0,10.5,,S,Yes
228,Third,male,20.5,0,0,7.25,,S,No
229,Second,male,18,0,0,13,,S,No
230,Third,female,,3,1,25.4667,,S,No
231,First,female,35,1,0,83.475,C83,S,Yes
232,Third,male,29,0,0,7.775,,S,No
233,Second,male,59,0,0,13.5,,S,No
234,Third,female,5,4,2,31.3875,,S,Yes
235,Second,male,24,0,0,10.5,,S,No
236,Third,female,,0,0,7.55,,S,No
237,Second,male,44,1,0,26,,S,No
238,Second,female,8,0,2,26.25,,S,Yes
239,Second,male,19,0,0,10.5,,S,No
240,Second,male,33,0,0,12.275,,S,No
241,Third,female,,1,0,14.4542,,C,No
242,Third,female,,1,0,15.5,,Q,Yes
243,Second,male,29,0,0,10.5,,S,No
244,Third,male,22,0,0,7.125,,S,No
245,Third,male,30,0,0,7.225,,C,No
246,First,male,44,2,0,90,C78,Q,No
247,Third,female,25,0,0,7.775,,S,No
248,Second,female,24,0,2,14.5,,S,Yes
249,First,male,37,1,1,52.5542,D35,S,Yes
250,Second,male,54,1,0,26,,S,No
251,Third,male,,0,0,7.25,,S,No
252,Third,female,29,1,1,10.4625,G6,S,No
253,First,male,62,0,0,26.55,C87,S,No
254,Third,male,30,1,0,16.1,,S,No
255,Third,female,41,0,2,20.2125,,S,No
256,Third,female,29,0,2,15.2458,,C,Yes
257,First,female,,0,0,79.2,,C,Yes
258,First,female,30,0,0,86.5,B77,S,Yes
259,First,female,35,0,0,512.3292,,C,Yes
260,Second,female,50,0,1,26,,S,Yes
261,Third,male,,0,0,7.75,,Q,No
262,Third,male,3,4,2,31.3875,,S,Yes
263,First,male,52,1,1,79.65,E67,S,No
264,First,male,40,0,0,0,B94,S,No
265,Third,female,,0,0,7.75,,Q,No
266,Second,male,36,0,0,10.5,,S,No
267,Third,male,16,4,1,39.6875,,S,No
268,Third,male,25,1,0,7.775,,S,Yes
269,First,female,58,0,1,153.4625,C125,S,Yes
270,First,female,35,0,0,135.6333,C99,S,Yes
271,First,male,,0,0,31,,S,No
272,Third,male,25,0,0,0,,S,Yes
273,Second,female,41,0,1,19.5,,S,Yes
274,First,male,37,0,1,29.7,C118,C,No
275,Third,female,,0,0,7.75,,Q,Yes
276,First,female,63,1,0,77.9583,D7,S,Yes
277,Third,female,45,0,0,7.75,,S,No
278,Second,male,,0,0,0,,S,No
279,Third,male,7,4,1,29.125,,Q,No
280,Third,female,35,1,1,20.25,,S,Yes
281,Third,male,65,0,0,7.75,,Q,No
282,Third,male,28,0,0,7.8542,,S,No
283,Third,male,16,0,0,9.5,,S,No
284,Third,male,19,0,0,8.05,,S,Yes
285,First,male,,0,0,26,A19,S,No
286,Third,male,33,0,0,8.6625,,C,No
287,Third,male,30,0,0,9.5,,S,Yes
288,Third,male,22,0,0,7.8958,,S,No
289,Second,male,42,0,0,13,,S,Yes
290,Third,female,22,0,0,7.75,,Q,Yes
291,First,female,26,0,0,78.85,,S,Yes
292,First,female,19,1,0,91.0792,B49,C,Yes
293,Second,male,36,0,0,12.875,D,C,No
294,Third,female,24,0,0,8.85,,S,No
295,Third,male,24,0,0,7.8958,,S,No
296,First,male,,0,0,27.7208,,C,No
297,Third,male,23.5,0,0,7.2292,,C,No
298,First,female,2,1,2,151.55,C22 C26,S,No
299,First,male,,0,0,30.5,C106,S,Yes
300,First,female,50,0,1,247.5208,B58 B60,C,Yes
301,Third,female,,0,0,7.75,,Q,Yes
302,Third,male,,2,0,23.25,,Q,Yes
303,Third,male,19,0,0,0,,S,No
304,Second,female,,0,0,12.35,E101,Q,Yes
305,Third,male,,0,0,8.05,,S,No
306,First,male,0.92,1,2,151.55,C22 C26,S,Yes
307,First,female,,0,0,110.8833,,C,Yes
308,First,female,17,1,0,108.9,C65,C,Yes
309,Second,male,30,1,0,24,,C,No
310,First,female,30,0,0,56.9292,E36,C,Yes
311,First,female,24,0,0,83.1583,C54,C,Yes
312,First,female,18,2,2,262.375,B57 B59 B63 B66,C,Yes
313,Second,female,26,1,1,26,,S,No
314,Third,male,28,0,0,7.8958,,S,No
315,Second,male,43,1,1,26.25,,S,No
316,Third,female,26,0,0,7.8542,,S,Yes
317,Second,female,24,1,0,26,,S,Yes
318,Second,male,54,0,0,14,,S,No
319,First,female,31,0,2,164.8667,C7,S,Yes
320,First,female,40,1,1,134.5,E34,C,Yes
321,Third,male,22,0,0,7.25,,S,No
322,Third,male,27,0,0,7.8958,,S,No
323,Second,female,30,0,0,12.35,,Q,Yes
324,Second,female,22,1,1,29,,S,Yes
325,Third,male,,8,2,69.55,,S,No
326,First,female,36,0,0,135.6333,C32,C,Yes
327,Third,male,61,0,0,6.2375,,S,No
328,Second,female,36,0,0,13,D,S,Yes
329,Third,female,31,1,1,20.525,,S,Yes
330,First,female,16,0,1,57.9792,B18,C,Yes
331,Third,female,,2,0,23.25,,Q,Yes
332,First,male,45.5,0,0,28.5,C124,S,No
333,First,male,38,0,1,153.4625,C91,S,No
334,Third,male,16,2,0,18,,S,No
335,First,female,,1,0,133.65,,S,Yes
336,Third,male,,0,0,7.8958,,S,No
337,First,male,29,1,0,66.6,C2,S,No
338,First,female,41,0,0,134.5,E40,C,Yes
339,Third,male,45,0,0,8.05,,S,Yes
340,First,male,45,0,0,35.5,T,S,No
341,Second,male,2,1,1,26,F2,S,Yes
342,First,female,24,3,2,263,C23 C25 C27,S,Yes
343,Second,male,28,0,0,13,,S,No
344,Second,male,25,0,0,13,,S,No
345,Second,male,36,0,0,13,,S,No
346,Second,female,24,0,0,13,F33,S,Yes
347,Second,female,40,0,0,13,,S,Yes
348,Third,female,,1,0,16.1,,S,Yes
349,Third,male,3,1,1,15.9,,S,Yes
350,Third,male,42,0,0,8.6625,,S,No
351,Third,male,23,0,0,9.225,,S,No
352,First,male,,0,0,35,C128,S,No
353,Third,male,15,1,1,7.2292,,C,No
354,Third,male,25,1,0,17.8,,S,No
355,Third,male,,0,0,7.225,,C,No
356,Third,male,28,0,0,9.5,,S,No
357,First,female,22,0,1,55,E33,S,Yes
358,Second,female,38,0,0,13,,S,No
359,Third,female,,0,0,7.8792,,Q,Yes
360,Third,female,,0,0,7.8792,,Q,Yes
361,Third,male,40,1,4,27.9,,S,No
362,Second,male,29,1,0,27.7208,,C,No
363,Third,female,45,0,1,14.4542,,C,No
364,Third,male,35,0,0,7.05,,S,No
365,Third,male,,1,0,15.5,,Q,No
366,Third,male,30,0,0,7.25,,S,No
367,First,female,60,1,0,75.25,D37,C,Yes
368,Third,female,,0,0,7.2292,,C,Yes
369,Third,female,,0,0,7.75,,Q,Yes
370,First,female,24,0,0,69.3,B35,C,Yes
371,First,male,25,1,0,55.4417,E50,C,Yes
372,Third,male,18,1,0,6.4958,,S,No
373,Third,male,19,0,0,8.05,,S,No
374,First,male,22,0,0,135.6333,,C,No
375,Third,female,3,3,1,21.075,,S,No
376,First,female,,1,0,82.1708,,C,Yes
377,Third,female,22,0,0,7.25,,S,Yes
378,First,male,27,0,2,211.5,C82,C,No
379,Third,male,20,0,0,4.0125,,C,No
380,Third,male,19,0,0,7.775,,S,No
381,First,female,42,0,0,227.525,,C,Yes
382,Third,female,1,0,2,15.7417,,C,Yes
383,Third,male,32,0,0,7.925,,S,No
384,First,female,35,1,0,52,,S,Yes
385,Third,male,,0,0,7.8958,,S,No
386,Second,male,18,0,0,73.5,,S,No
387,Third,male,1,5,2,46.9,,S,No
388,Second,female,36,0,0,13,,S,Yes
389,Third,male,,0,0,7.7292,,Q,No
390,Second,female,17,0,0,12,,C,Yes
391,First,male,36,1,2,120,B96 B98,S,Yes
392,Third,male,21,0,0,7.7958,,S,Yes
393,Third,male,28,2,0,7.925,,S,No
394,First,female,23,1,0,113.275,D36,C,Yes
395,Third,female,24,0,2,16.7,G6,S,Yes
396,Third,male,22,0,0,7.7958,,S,No
397,Third,female,31,0,0,7.8542,,S,No
398,Second,male,46,0,0,26,,S,No
399,Second,male,23,0,0,10.5,,S,No
400,Second,female,28,0,0,12.65,,S,Yes
401,Third,male,39,0,0,7.925,,S,Yes
402,Third,male,26,0,0,8.05,,S,No
403,Third,female,21,1,0,9.825,,S,No
404,Third,male,28,1,0,15.85,,S,No
405,Third,female,20,0,0,8.6625,,S,No
406,Second,male,34,1,0,21,,S,No
407,Third,male,51,0,0,7.75,,S,No
408,Second,male,3,1,1,18.75,,S,Yes
409,Third,male,21,0,0,7.775,,S,No
410,Third,female,,3,1,25.4667,,S,No
411,Third,male,,0,0,7.8958,,S,No
412,Third,male,,0,0,6.8583,,Q,No
413,First,female,33,1,0,90,C78,Q,Yes
414,Second,male,,0,0,0,,S,No
415,Third,male,44,0,0,7.925,,S,Yes
416,Third,female,,0,0,8.05,,S,No
417,Second,female,34,1,1,32.5,,S,Yes
418,Second,female,18,0,2,13,,S,Yes
419,Second,male,30,0,0,13,,S,No
420,Third,female,10,0,2,24.15,,S,No
421,Third,male,,0,0,7.8958,,C,No
422,Third,male,21,0,0,7.7333,,Q,No
423,Third,male,29,0,0,7.875,,S,No
424,Third,female,28,1,1,14.4,,S,No
425,Third,male,18,1,1,20.2125,,S,No
426,Third,male,,0,0,7.25,,S,No
427,Second,female,28,1,0,26,,S,Yes
428,Second,female,19,0,0,26,,S,Yes
429,Third,male,,0,0,7.75,,Q,No
430,Third,male,32,0,0,8.05,E10,S,Yes
431,First,male,28,0,0,26.55,C52,S,Yes
432,Third,female,,1,0,16.1,,S,Yes
433,Second,female,42,1,0,26,,S,Yes
434,Third,male,17,0,0,7.125,,S,No
435,First,male,50,1,0,55.9,E44,S,No
436,First,female,14,1,2,120,B96 B98,S,Yes
437,Third,female,21,2,2,34.375,,S,No
438,Second,female,24,2,3,18.75,,S,Yes
439,First,male,64,1,4,263,C23 C25 C27,S,No
440,Second,male,31,0,0,10.5,,S,No
441,Second,female,45,1,1,26.25,,S,Yes
442,Third,male,20,0,0,9.5,,S,No
443,Third,male,25,1,0,7.775,,S,No
444,Second,female,28,0,0,13,,S,Yes
445,Third,male,,0,0,8.1125,,S,Yes
446,First,male,4,0,2,81.8583,A34,S,Yes
447,Second,female,13,0,1,19.5,,S,Yes
448,First,male,34,0,0,26.55,,S,Yes
449,Third,female,5,2,1,19.2583,,C,Yes
450,First,male,52,0,0,30.5,C104,S,Yes
451,Second,male,36,1,2,27.75,,S,No
452,Third,male,,1,0,19.9667,,S,No
453,First,male,30,0,0,27.75,C111,C,No
454,First,male,49,1,0,89.1042,C92,C,Yes
455,Third,male,,0,0,8.05,,S,No
456,Third,male,29,0,0,7.8958,,C,Yes
457,First,male,65,0,0,26.55,E38,S,No
458,First,female,,1,0,51.8625,D21,S,Yes
459,Second,female,50,0,0,10.5,,S,Yes
460,Third,male,,0,0,7.75,,Q,No
461,First,male,48,0,0,26.55,E12,S,Yes
462,Third,male,34,0,0,8.05,,S,No
463,First,male,47,0,0,38.5,E63,S,No
464,Second,male,48,0,0,13,,S,No
465,Third,male,,0,0,8.05,,S,No
466,Third,male,38,0,0,7.05,,S,No
467,Second,male,,0,0,0,,S,No
468,First,male,56,0,0,26.55,,S,No
469,Third,male,,0,0,7.725,,Q,No
470,Third,female,0.75,2,1,19.2583,,C,Yes
471,Third,male,,0,0,7.25,,S,No
472,Third,male,38,0,0,8.6625,,S,No
473,Second,female,33,1,2,27.75,,S,Yes
474,Second,female,23,0,0,13.7917,D,C,Yes
475,Third,female,22,0,0,9.8375,,S,No
476,First,male,,0,0,52,A14,S,No
477,Second,male,34,1,0,21,,S,No
478,Third,male,29,1,0,7.0458,,S,No
479,Third,male,22,0,0,7.5208,,S,No
480,Third,female,2,0,1,12.2875,,S,Yes
481,Third,male,9,5,2,46.9,,S,No
482,Second,male,,0,0,0,,S,No
483,Third,male,50,0,0,8.05,,S,No
484,Third,female,63,0,0,9.5875,,S,Yes
485,First,male,25,1,0,91.0792,B49,C,Yes
486,Third,female,,3,1,25.4667,,S,No
487,First,female,35,1,0,90,C93,S,Yes
488,First,male,58,0,0,29.7,B37,C,No
489,Third,male,30,0,0,8.05,,S,No
490,Third,male,9,1,1,15.9,,S,Yes
491,Third,male,,1,0,19.9667,,S,No
492,Third,male,21,0,0,7.25,,S,No
493,First,male,55,0,0,30.5,C30,S,No
494,First,male,71,0,0,49.5042,,C,No
495,Third,male,21,0,0,8.05,,S,No
496,Third,male,,0,0,14.4583,,C,No
497,First,female,54,1,0,78.2667,D20,C,Yes
498,Third,male,,0,0,15.1,,S,No
499,First,female,25,1,2,151.55,C22 C26,S,No
500,Third,male,24,0,0,7.7958,,S,No
501,Third,male,17,0,0,8.6625,,S,No
502,Third,female,21,0,0,7.75,,Q,No
503,Third,female,,0,0,7.6292,,Q,No
504,Third,female,37,0,0,9.5875,,S,No
505,First,female,16,0,0,86.5,B79,S,Yes
506,First,male,18,1,0,108.9,C65,C,No
507,Second,female,33,0,2,26,,S,Yes
508,First,male,,0,0,26.55,,S,Yes
509,Third,male,28,0,0,22.525,,S,No
510,Third,male,26,0,0,56.4958,,S,Yes
511,Third,male,29,0,0,7.75,,Q,Yes
512,Third,male,,0,0,8.05,,S,No
513,First,male,36,0,0,26.2875,E25,S,Yes
514,First,female,54,1,0,59.4,,C,Yes
515,Third,male,24,0,0,7.4958,,S,No
516,First,male,47,0,0,34.0208,D46,S,No
517,Second,female,34,0,0,10.5,F33,S,Yes
518,Third,male,,0,0,24.15,,Q,No
519,Second,female,36,1,0,26,,S,Yes
520,Third,male,32,0,0,7.8958,,S,No
521,First,female,30,0,0,93.5,B73,S,Yes
522,Third,male,22,0,0,7.8958,,S,No
523,Third,male,,0,0,7.225,,C,No
524,First,female,44,0,1,57.9792,B18,C,Yes
525,Third,male,,0,0,7.2292,,C,No
526,Third,male,40.5,0,0,7.75,,Q,No
527,Second,female,50,0,0,10.5,,S,Yes
528,First,male,,0,0,221.7792,C95,S,No
529,Third,male,39,0,0,7.925,,S,No
530,Second,male,23,2,1,11.5,,S,No
531,Second,female,2,1,1,26,,S,Yes
532,Third,male,,0,0,7.2292,,C,No
533,Third,male,17,1,1,7.2292,,C,No
534,Third,female,,0,2,22.3583,,C,Yes
535,Third,female,30,0,0,8.6625,,S,No
536,Second,female,7,0,2,26.25,,S,Yes
537,First,male,45,0,0,26.55,B38,S,No
538,First,female,30,0,0,106.425,,C,Yes
539,Third,male,,0,0,14.5,,S,No
540,First,female,22,0,2,49.5,B39,C,Yes
541,First,female,36,0,2,71,B22,S,Yes
542,Third,female,9,4,2,31.275,,S,No
543,Third,female,11,4,2,31.275,,S,No
544,Second,male,32,1,0,26,,S,Yes
545,First,male,50,1,0,106.425,C86,C,No
546,First,male,64,0,0,26,,S,No
547,Second,female,19,1,0,26,,S,Yes
548,Second,male,,0,0,13.8625,,C,Yes
549,Third,male,33,1,1,20.525,,S,No
550,Second,male,8,1,1,36.75,,S,Yes
551,First,male,17,0,2,110.8833,C70,C,Yes
552,Second,male,27,0,0,26,,S,No
553,Third,male,,0,0,7.8292,,Q,No
554,Third,male,22,0,0,7.225,,C,Yes
555,Third,female,22,0,0,7.775,,S,Yes
556,First,male,62,0,0,26.55,,S,No
557,First,female,48,1,0,39.6,A16,C,Yes
558,First,male,,0,0,227.525,,C,No
559,First,female,39,1,1,79.65,E67,S,Yes
560,Third,female,36,1,0,17.4,,S,Yes
561,Third,male,,0,0,7.75,,Q,No
562,Third,male,40,0,0,7.8958,,S,No
563,Second,male,28,0,0,13.5,,S,No
564,Third,male,,0,0,8.05,,S,No
565,Third,female,,0,0,8.05,,S,No
566,Third,male,24,2,0,24.15,,S,No
567,Third,male,19,0,0,7.8958,,S,No
568,Third,female,29,0,4,21.075,,S,No
569,Third,male,,0,0,7.2292,,C,No
570,Third,male,32,0,0,7.8542,,S,Yes
571,Second,male,62,0,0,10.5,,S,Yes
572,First,female,53,2,0,51.4792,C101,S,Yes
573,First,male,36,0,0,26.3875,E25,S,Yes
574,Third,female,,0,0,7.75,,Q,Yes
575,Third,male,16,0,0,8.05,,S,No
576,Third,male,19,0,0,14.5,,S,No
577,Second,female,34,0,0,13,,S,Yes
578,First,female,39,1,0,55.9,E44,S,Yes
579,Third,female,,1,0,14.4583,,C,No
580,Third,male,32,0,0,7.925,,S,Yes
581,Second,female,25,1,1,30,,S,Yes
582,First,female,39,1,1,110.8833,C68,C,Yes
583,Second,male,54,0,0,26,,S,No
584,First,male,36,0,0,40.125,A10,C,No
585,Third,male,,0,0,8.7125,,C,No
586,First,female,18,0,2,79.65,E68,S,Yes
587,Second,male,47,0,0,15,,S,No
588,First,male,60,1,1,79.2,B41,C,Yes
589,Third,male,22,0,0,8.05,,S,No
590,Third,male,,0,0,8.05,,S,No
591,Third,male,35,0,0,7.125,,S,No
592,First,female,52,1,0,78.2667,D20,C,Yes
593,Third,male,47,0,0,7.25,,S,No
594,Third,female,,0,2,7.75,,Q,No
595,Second,male,37,1,0,26,,S,No
596,Third,male,36,1,1,24.15,,S,No
597,Second,female,,0,0,33,,S,Yes
598,Third,male,49,0,0,0,,S,No
599,Third,male,,0,0,7.225,,C,No
600,First,male,49,1,0,56.9292,A20,C,Yes
601,Second,female,24,2,1,27,,S,Yes
602,Third,male,,0,0,7.8958,,S,No
603,First,male,,0,0,42.4,,S,No
604,Third,male,44,0,0,8.05,,S,No
605,First,male,35,0,0,26.55,,C,Yes
